|        in        |loa|    address     |       out        |
| 0000000000000001 | 1 | 00000000000000 | 0000000000000001 |
| 0000000000000011 | 1 | 00000000000001 | 0000000000000011 |
| 0000000000000111 | 1 | 00000000000010 | 0000000000000111 |
| 0000000000001111 | 1 | 00000000000011 | 0000000000001111 |
| 0000000000011111 | 1 | 00000000000100 | 0000000000011111 |
| 0000000000011111 | 0 | 00000000000000 | 0000000000000001 |
| 0000000000011111 | 0 | 00000000000001 | 0000000000000011 |
| 0000000000011111 | 0 | 00000000000010 | 0000000000000111 |
| 0000000000011111 | 0 | 00000000000011 | 0000000000001111 |
| 0000000000011111 | 0 | 00000000000100 | 0000000000011111 |
